seed,arm,anchor,n,noise,r,k,full_J_rmse,direction_omission_rmse,fit_sampling_rmse,total_rmse,triangle_bound_mean,total_norm_mean,max_triangle_violation
302,X_VALID,8,256,0,0,18,0.00013252629000378742,0.007467743632440979,0.0,0.007380583703312033,0.11131948395915292,0.1080828218853047,-0.002996408415287505
302,X_VALID,24,exact,0,0,9,3.411237584710348e-05,0.0017180653470638921,0.0,0.0017415213876252331,0.024752543789684278,0.024582411024281006,-9.611836111383248e-05
302,X_VALID,24,16,0,0,9,3.411237584710348e-05,0.0017180653470638921,0.0,0.0017415213876252331,0.024752543789684278,0.024582411024281006,-9.611836111383248e-05
302,X_VALID,24,64,0,0,9,3.411237584710348e-05,0.0017180653470638921,0.0,0.0017415213876252331,0.024752543789684278,0.024582411024281006,-9.611836111383248e-05
302,X_VALID,24,256,0,0,9,3.411237584710348e-05,0.0017180653470638921,0.0,0.0017415213876252331,0.024752543789684278,0.024582411024281006,-9.611836111383248e-05
302,X_VALID,40,exact,0,0,12,3.1771178072398926e-05,0.002529842852991106,0.0,0.002555568462314804,0.037393478926534156,0.037304780259841824,-8.155561202015382e-05
302,X_VALID,40,16,0,0,12,3.1771178072398926e-05,0.002529842852991106,0.0,0.002555568462314804,0.037393478926534156,0.037304780259841824,-8.155561202015382e-05
302,X_VALID,40,64,0,0,12,3.1771178072398926e-05,0.002529842852991106,0.0,0.002555568462314804,0.037393478926534156,0.037304780259841824,-8.155561202015382e-05
302,X_VALID,40,256,0,0,12,3.1771178072398926e-05,0.002529842852991106,0.0,0.002555568462314804,0.037393478926534156,0.037304780259841824,-8.155561202015382e-05
303,X_BASE,8,exact,0,0,18,4.56204944916682e-05,0.002473753519458275,0.0,0.002505457546166664,0.03640998874057196,0.03630402729364884,-1.1153172453114146e-05
303,X_BASE,8,16,0,0,18,4.56204944916682e-05,0.002473753519458275,0.0,0.002505457546166664,0.03640998874057196,0.03630402729364884,-1.1153172453114146e-05
303,X_BASE,8,64,0,0,18,4.56204944916682e-05,0.002473753519458275,0.0,0.002505457546166664,0.03640998874057196,0.03630402729364884,-1.1153172453114146e-05
303,X_BASE,8,256,0,0,18,4.56204944916682e-05,0.002473753519458275,0.0,0.002505457546166664,0.03640998874057196,0.03630402729364884,-1.1153172453114146e-05
303,X_BASE,24,exact,0,0,17,0.00020691548650701662,0.009854535265351466,0.0,0.010043990193103338,0.14723482164366594,0.14698924454685555,-0.00017079538123682125
303,X_BASE,24,16,0,0,17,0.00020691548650701662,0.009854535265351466,0.0,0.010043990193103338,0.14723482164366594,0.14698924454685555,-0.00017079538123682125
303,X_BASE,24,64,0,0,17,0.00020691548650701662,0.009854535265351466,0.0,0.010043990193103338,0.14723482164366594,0.14698924454685555,-0.00017079538123682125
303,X_BASE,24,256,0,0,17,0.00020691548650701662,0.009854535265351466,0.0,0.010043990193103338,0.14723482164366594,0.14698924454685555,-0.00017079538123682125
303,X_BASE,40,exact,0,0,12,0.00012986400970255144,0.011145796342511845,0.0,0.011154978819968093,0.1627875799176282,0.1610888200808868,-0.0012551273065432023
303,X_BASE,40,16,0,0,12,0.00012986400970255144,0.011145796342511845,0.0,0.011154978819968093,0.1627875799176282,0.1610888200808868,-0.0012551273065432023
303,X_BASE,40,64,0,0,12,0.00012986400970255144,0.011145796342511845,0.0,0.011154978819968093,0.1627875799176282,0.1610888200808868,-0.0012551273065432023
303,X_BASE,40,256,0,0,12,0.00012986400970255144,0.011145796342511845,0.0,0.011154978819968093,0.1627875799176282,0.1610888200808868,-0.0012551273065432023
303,X_VALID,8,exact,0,0,17,9.917217373259158e-05,0.005819041348435029,0.0,0.005739065226222703,0.08653255226247918,0.08389560518002882,-0.0024704244492751992
303,X_VALID,8,16,0,0,17,9.917217373259158e-05,0.005819041348435029,0.0,0.005739065226222703,0.08653255226247918,0.08389560518002882,-0.0024704244492751992
303,X_VALID,8,64,0,0,17,9.917217373259158e-05,0.005819041348435029,0.0,0.005739065226222703,0.08653255226247918,0.08389560518002882,-0.0024704244492751992
303,X_VALID,8,256,0,0,17,9.917217373259158e-05,0.005819041348435029,0.0,0.005739065226222703,0.08653255226247918,0.08389560518002882,-0.0024704244492751992
303,X_VALID,24,exact,0,0,16,3.824293598234279e-05,0.0010318656361937946,0.0,0.0010510816067980412,0.015486755795344344,0.01518756880641009,-0.00014086708036138013
303,X_VALID,24,16,0,0,16,3.824293598234279e-05,0.0010318656361937946,0.0,0.0010510816067980412,0.015486755795344344,0.01518756880641009,-0.00014086708036138013
303,X_VALID,24,64,0,0,16,3.824293598234279e-05,0.0010318656361937946,0.0,0.0010510816067980412,0.015486755795344344,0.01518756880641009,-0.00014086708036138013
303,X_VALID,24,256,0,0,16,3.824293598234279e-05,0.0010318656361937946,0.0,0.0010510816067980412,0.015486755795344344,0.01518756880641009,-0.00014086708036138013
303,X_VALID,40,exact,0,0,10,1.0339786468462251e-05,0.002142667286269496,0.0,0.00214446452048336,0.03138188493145315,0.03126037924281267,-7.131253385620623e-05
303,X_VALID,40,16,0,0,10,1.0339786468462251e-05,0.002142667286269496,0.0,0.00214446452048336,0.03138188493145315,0.03126037924281267,-7.131253385620623e-05
303,X_VALID,40,64,0,0,10,1.0339786468462251e-05,0.002142667286269496,0.0,0.00214446452048336,0.03138188493145315,0.03126037924281267,-7.131253385620623e-05
303,X_VALID,40,256,0,0,10,1.0339786468462251e-05,0.002142667286269496,0.0,0.00214446452048336,0.03138188493145315,0.03126037924281267,-7.131253385620623e-05
304,X_BASE,8,exact,0,0,22,6.175297509822791e-05,0.002882675342695199,0.0,0.0029287794090945276,0.04270305817515513,0.04258539596620689,-2.313320702906907e-05
